interval_begin;interval_end;interval_id;interval_sampledSeconds;interval_departed;interval_arrived;interval_entered;interval_left;interval_density;interval_laneDensity;interval_occupancy;interval_waitingTime;interval_timeLoss;interval_speed;interval_vaporized;typedInterval_begin;typedInterval_end;typedInterval_id;typedInterval_type;typedInterval_departed;typedInterval_arrived;typedInterval_entered;typedInterval_left;typedInterval_sampledSeconds;typedInterval_density;typedInterval_occupancy;typedInterval_waitingTime;typedInterval_timeLoss;typedInterval_speed;typedInterval_vaporized
29700.00;30600.00;e1Detector_146007626_1_875;622.91;0;0;133;133;11.01;2.75;1.38;0.00;10.33;13.42;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146007626_2_876;622.91;0;0;133;133;11.01;2.75;1.38;0.00;10.33;13.42;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146007626_3_877;622.91;0;0;133;133;11.01;2.75;1.38;0.00;10.33;13.42;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146050879_1_404;1967.74;0;0;230;227;25.21;12.60;6.30;0.00;541.46;10.07;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146050887_0_401;5448.47;0;0;253;251;72.22;24.07;12.04;0.00;3901.16;3.88;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146050887_1_402;5448.47;0;0;253;251;72.22;24.07;12.04;0.00;3901.16;3.88;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146050887_2_403;5448.47;0;0;253;251;72.22;24.07;12.04;0.00;3901.16;3.88;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146234212_0_196;944.54;0;0;151;151;12.35;6.17;3.09;0.00;20.17;13.59;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146234212_1_197;944.54;0;0;151;151;12.35;6.17;3.09;0.00;20.17;13.59;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146234214_0_323;2624.38;0;0;352;353;30.96;10.32;5.16;0.00;220.87;12.67;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146234214_1_324;2624.38;0;0;352;353;30.96;10.32;5.16;0.00;220.87;12.67;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146234214_2_325;2624.38;0;0;352;353;30.96;10.32;5.16;0.00;220.87;12.67;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146256531_0_313;728.88;0;0;179;180;14.84;7.42;3.71;0.00;14.62;13.39;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146256531_1_312;728.88;0;0;179;180;14.84;7.42;3.71;0.00;14.62;13.39;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146504815_0_487;2407.45;31;35;336;334;31.51;10.50;5.25;0.00;137.88;12.98;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146504815_1_486;2407.45;31;35;336;334;31.51;10.50;5.25;0.00;137.88;12.98;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146504815_2_485;2407.45;31;35;336;334;31.51;10.50;5.25;0.00;137.88;12.98;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146537576_0_502;517.47;0;0;75;75;6.37;2.12;1.06;0.00;16.74;13.09;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146537576_1_501;517.47;0;0;75;75;6.37;2.12;1.06;0.00;16.74;13.09;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146537576_2_500;517.47;0;0;75;75;6.37;2.12;1.06;0.00;16.74;13.09;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146630737#0.88_0_145;406.89;0;0;99;98;8.02;2.67;1.34;0.00;0.01;13.65;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146630737#0.88_1_146;406.89;0;0;99;98;8.02;2.67;1.34;0.00;0.01;13.65;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146630737#0.88_2_147;406.89;0;0;99;98;8.02;2.67;1.34;0.00;0.01;13.65;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146631481#0_0_472;884.18;23;18;172;179;16.29;5.43;2.72;0.00;32.37;13.33;;;;;;;;;;;;;;;;
29700.00;30600.00;e1Detector_146631481#0_1_473;884.18;23;18;172;179;16.29;5.43;2.72;0.00;32.37;13.33;;;;;;;;;;;;;;;;
